text,chest_pain,shortness_of_breath,palpitations,exercise_worse,hypertension,dizziness,sweating,fatigue,swelling,orthopnea
أشعر بألم في صدري,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
لدي ضغط على الصدر,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
صدري يؤلمني,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
أحس بثقل في الصدر,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
يوجد وجع بالصدر,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chest pain,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
I feel pressure in my chest,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
my chest hurts,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
لا أشعر بألم في الصدر,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
ليس لدي وجع بالصدر,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
صدري لا يؤلمني,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
لا يوجد ضغط على صدري,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
no chest pain,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
my chest does not hurt,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
أشعر بضيق في التنفس,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
ضيق في التنفس,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
نفسي قصير,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
لا أستطيع التنفس بسهولة,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
أعاني من صعوبة بالتنفس,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
أحس أن الهواء لا يكفيني,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
shortness of breath,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
I am breathless,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
difficulty breathing,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
لا أشعر بضيق في التنفس,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
تنفسي طبيعي,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
لا أعاني من صعوبة بالتنفس,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
لا يوجد ضيق نفس,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
no shortness of breath,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
I breathe normally,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
أشعر بخفقان في القلب,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
لدي خفقان,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
دقات قلبي غير منتظمة,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
قلبي يدق بسرعة,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
أحس برفرفة في صدري,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
لدي تسارع في ضربات القلب,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
heart palpitations,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
my heartbeat feels irregular,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
my heart is racing,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
لا أشعر بخفقان,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
دقات قلبي منتظمة,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
لا يوجد تسارع في القلب,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
لا أحس برفرفة,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
no palpitations,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
my heartbeat feels regular,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
أشعر بألم الصدر عند صعود الدرج,1,-1,-1,1,-1,-1,-1,-1,-1,-1
يؤلمني صدري أثناء المشي,1,-1,-1,1,-1,-1,-1,-1,-1,-1
ألم الصدر يظهر مع المجهود,1,-1,-1,1,-1,-1,-1,-1,-1,-1
أشعر بألم في صدري عند صعود الدرج,1,-1,-1,1,-1,-1,-1,-1,-1,-1
ألم في صدري عندما أبذل مجهودا,1,-1,-1,1,-1,-1,-1,-1,-1,-1
صدري يؤلمني مع المجهود,1,-1,-1,1,-1,-1,-1,-1,-1,-1
أحس بضغط في الصدر عند الرياضة,1,-1,-1,1,-1,-1,-1,-1,-1,-1
الأعراض تزداد مع النشاط وتخف بالراحة,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
exertional chest pain,1,-1,-1,1,-1,-1,-1,-1,-1,-1
symptoms get worse with exercise and improve with rest,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
لا تزداد الأعراض مع المجهود,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
لا يؤلمني صدري عند المشي,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
لا يوجد ألم عند صعود الدرج,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
